"Symbol","Description","Category2","Category3","GICSSector","MarketCap","DividendYield","Country","Action"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$30,521,122,933","0.00%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$30,425,758,757","1.54%","USA","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$30,398,527,617","0.00%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$30,383,767,411","0.00%","USA","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$30,375,745,964","1.25%","USA","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$30,365,516,605","2.72%","USA","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$30,349,127,163","1.46%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$30,336,547,142","0.29%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$30,300,838,184","5.36%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$30,188,150,614","1.37%","USA","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$29,839,966,297","1.87%","USA","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$29,793,667,090","0.00%","USA","Analyze"
"RIVN","Rivian Automotive, Inc.  Class A","Common stocks","Large cap","Consumer Discretionary","$29,712,648,589","0.00%","USA","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$29,690,107,779","3.26%","USA","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$29,653,288,390","0.00%","USA","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","Common stocks","Large cap","Communication Services","$29,512,201,678","0.00%","USA","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","Common stocks","Large cap","Communication Services","$29,512,201,678","0.00%","USA","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","Common stocks","Large cap","Communication Services","$29,512,201,678","0.00%","USA","Analyze"
"FWONA","Liberty Media Formula One Corp Series A","Common stocks","Large cap","Communication Services","$29,512,201,678","0.00%","USA","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$29,491,335,845","0.00%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$29,376,625,178","0.64%","USA","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$29,011,318,702","3.03%","USA","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$28,989,441,551","1.76%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$28,940,652,932","0.00%","USA","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$28,937,472,086","1.96%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Utilities","$28,923,583,853","2.38%","USA","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$28,755,193,328","0.00%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$28,456,546,506","0.00%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$28,437,523,718","0.00%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$28,352,187,123","0.00%","USA","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$28,230,460,953","1.20%","USA","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$28,166,553,951","2.84%","USA","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$28,093,430,539","3.13%","USA","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$27,870,182,439","2.30%","USA","Analyze"
"TTD","Trade Desk Inc Class A","Common stocks","Large cap","Information Technology","$27,719,095,731","0.00%","USA","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$27,586,130,451","0.70%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$27,573,917,957","0.00%","USA","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$27,524,334,267","3.32%","USA","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$27,455,675,317","2.02%","USA","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$27,450,985,143","2.17%","USA","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$27,361,374,159","5.97%","USA","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$27,351,257,989","1.88%","USA","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$27,326,232,693","0.95%","USA","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$27,288,364,361","0.00%","USA","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$27,275,775,314","0.64%","USA","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$27,082,995,720","3.75%","USA","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$27,075,098,249","5.40%","USA","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$26,986,201,917","1.68%","USA","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$26,667,304,600","0.52%","USA","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$26,612,338,914","2.74%","USA","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$25,849,645,623","4.01%","USA","Analyze"
"LCID","Lucid Group, Inc.","Common stocks","Large cap","Consumer Discretionary","$25,737,891,322","0.00%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$25,556,914,199","0.70%","USA","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$25,359,699,666","0.00%","USA","Analyze"
"CLR","Continental Resources Inc","Common stocks","Large cap","Energy","$25,348,360,668","1.41%","USA","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$25,313,076,323","0.00%","Ireland","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$25,289,160,400","1.99%","USA","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Communication Services","$25,251,599,769","2.64%","USA","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$25,126,783,188","3.30%","USA","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$25,030,016,146","2.97%","USA","Analyze"
"ALNY","Alnylam Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$24,805,888,949","0.00%","USA","Analyze"
"K","Kellogg","Common stocks","Large cap","Materials","$24,739,826,530","3.18%","USA","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$24,723,307,800","1.26%","USA","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$24,591,846,921","1.83%","USA","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$24,467,209,748","0.00%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$24,243,602,559","1.89%","USA","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$24,018,138,629","0.00%","USA","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$23,930,285,435","2.44%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$23,715,802,553","1.42%","USA","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$23,454,094,824","3.46%","USA","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$23,433,373,064","3.47%","USA","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$23,116,224,610","1.88%","USA","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$23,103,041,336","0.82%","USA","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$23,064,253,404","1.17%","USA","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$22,744,177,188","1.56%","USA","Analyze"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$22,656,821,337","1.42%","USA","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$22,598,683,522","3.89%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$22,590,215,552","0.00%","USA","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$22,567,071,263","0.00%","USA","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$22,558,329,133","1.71%","USA","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$22,526,293,037","0.55%","USA","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$22,525,654,519","1.22%","USA","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$22,308,014,343","0.90%","USA","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$22,143,857,499","2.27%","USA","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$22,126,682,162","0.94%","USA","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$22,064,642,197","2.17%","USA","Analyze"
"LEN.B","Lennar Corporation Class B","Common stocks","Large cap","Consumer Discretionary","$21,993,861,124","2.21%","USA","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$21,993,861,124","1.76%","USA","Analyze"
"MDB","MongoDB, Inc. Class A","Common stocks","Large cap","Information Technology","$21,991,604,380","0.00%","USA","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$21,969,297,263","0.24%","USA","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$21,831,327,199","2.43%","USA","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$21,775,950,909","0.00%","USA","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$21,685,102,094","0.71%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$21,619,149,520","0.00%","USA","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$21,506,370,365","0.00%","USA","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Energy","$21,408,253,083","4.24%","USA","Analyze"
"RBLX","Roblox Corp","Common stocks","Large cap","Communication Services","$21,331,705,193","0.00%","USA","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$21,203,839,020","0.59%","USA","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$21,081,253,418","0.00%","USA","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$20,882,529,000","0.64%","USA","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$20,781,286,329","2.38%","USA","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$20,780,253,926","0.00%","USA","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$20,615,494,951","1.35%","USA","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Staples","$20,551,666,293","1.76%","USA","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$20,438,525,995","0.00%","USA","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$20,429,612,069","0.00%","USA","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$20,333,943,028","1.24%","USA","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$20,248,368,363","3.10%","USA","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$20,209,143,824","0.19%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$20,178,402,382","0.00%","USA","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$20,140,948,002","0.85%","USA","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$20,078,649,754","1.49%","USA","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$19,922,019,312","0.00%","USA","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$19,848,226,784","2.17%","USA","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$19,815,474,567","2.92%","USA","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$19,601,197,000","0.00%","USA","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$19,599,810,486","2.66%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$19,549,152,904","0.00%","USA","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$19,500,579,717","0.90%","USA","Analyze"
"SPOT","Spotify Technology SA","Common stocks","Large cap","Communication Services","$19,385,554,290","0.00%","Luxembourg","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$19,325,404,210","4.51%","USA","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$19,272,074,382","2.75%","USA","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$19,130,252,837","3.71%","USA","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$19,124,751,297","2.66%","USA","Analyze"
"AGR","Avangrid Inc","Common stocks","Large cap","Consumer Staples","$19,099,237,011","3.51%","USA","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$19,098,686,623","0.17%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$19,034,964,685","0.00%","USA","Analyze"
"DASH","DoorDash Inc","Common stocks","Large cap","Consumer Discretionary","$19,027,834,000","0.00%","USA","Analyze"
"SUI","Sun Communities, Inc","REITs","Large cap","Real Estate","$18,956,096,994","2.21%","USA","Analyze"
"UI","Ubiquiti Inc.","Common stocks","Large cap","Information Technology","$18,755,843,103","0.77%","USA","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$18,632,983,165","2.54%","USA","Analyze"
"ZI","ZoomInfo Technologies Inc. - Class A","Common stocks","Large cap","Communication Services","$18,324,244,800","0.00%","USA","Analyze"
"HEI","Heico Corp","Common stocks","Large cap","Materials","$18,278,181,293","0.12%","USA","Analyze"
"HEI.A","Heico Corporation Class A","Common stocks","Large cap","Industrials","$18,278,181,293","0.15%","USA","Analyze"
"RPRX","Royalty Pharma plc - Class A","Common stocks","Large cap","Health Care","$18,276,789,032","1.76%","USA","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$18,180,199,949","4.27%","USA","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$18,147,693,373","1.54%","USA","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$18,147,693,373","1.43%","USA","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Industrials","$18,109,809,082","1.13%","USA","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$18,065,563,145","0.86%","USA","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$17,937,922,028","1.60%","USA","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,883,124,868","3.94%","United Kingdom","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$17,878,949,413","0.00%","USA","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$17,805,917,118","0.65%","USA","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$17,777,354,781","3.19%","USA","Analyze"
"PODD","Insulet Corp","Common stocks","Large cap","Health Care","$17,730,538,203","0.00%","USA","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$17,683,934,562","0.83%","USA","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$17,670,894,188","4.35%","USA","Analyze"
"LPLA","LPL Financial Holdings Inc","Common stocks","Large cap","Financials","$17,655,447,178","0.45%","USA","Analyze"
"NET","Cloudflare, Inc. Class A","Common stocks","Large cap","Information Technology","$17,598,994,510","0.00%","USA","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$17,541,498,673","1.43%","USA","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,485,555,712","0.68%","USA","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$17,263,059,895","0.00%","USA","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$17,261,861,536","3.20%","USA","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$17,260,197,125","1.21%","USA","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$17,189,689,104","0.55%","USA","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$17,065,750,719","2.32%","USA","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Energy","$17,047,805,877","0.21%","USA","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$16,998,910,425","2.43%","USA","Analyze"
"BILL","Bill.com Holdings, Inc.","Common stocks","Large cap","Information Technology","$16,971,555,534","0.00%","USA","Analyze"
"ACGL","Arch Capital Group Ltd","Common stocks","Large cap","Financials","$16,876,952,235","0.00%","USA","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$16,866,565,665","0.00%","USA","Analyze"
"AVTR","Avantor, Inc.","Common stocks","Large cap","Health Care","$16,790,206,195","0.00%","USA","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$16,624,009,128","1.18%","USA","Analyze"
"BMRN","Biomarin Pharmaceutical Inc","Common stocks","Large cap","Health Care","$16,544,268,936","0.00%","USA","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$16,505,556,531","3.64%","USA","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Energy","$16,495,409,673","4.34%","USA","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$16,458,098,064","0.79%","USA","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$16,414,558,791","1.29%","USA","Analyze"
"PLUG","Plug Power Inc","Common stocks","Large cap","Industrials","$16,226,633,372","0.00%","USA","Analyze"
"WPC","W. P. Carey Inc","REITs","Large cap","Real Estate","$16,210,136,211","4.93%","USA","Analyze"
"HUBS","Hubspot Inc","Common stocks","Large cap","Information Technology","$16,184,392,179","0.00%","USA","Analyze"
"MKL","Markel Corp","Common stocks","Large cap","Financials","$16,150,827,335","0.00%","USA","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$16,103,097,522","4.73%","USA","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$16,009,067,048","0.65%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$15,997,224,132","0.00%","USA","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$15,942,585,788","0.00%","USA","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Industrials","$15,917,154,691","4.41%","USA","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$15,860,945,663","2.38%","USA","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$15,849,461,170","2.74%","USA","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$15,830,819,576","0.00%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$15,811,913,190","2.32%","USA","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$15,777,608,069","2.69%","USA","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$15,729,142,591","3.30%","USA","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$15,665,789,623","0.00%","USA","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$15,664,331,689","0.00%","USA","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$15,621,917,803","0.00%","USA","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$15,606,408,148","0.00%","USA","Analyze"
"TRGP","Targa Resources Corp","Common stocks","Large cap","Energy","$15,458,012,289","1.68%","USA","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$15,447,933,034","0.00%","USA","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$15,435,978,963","2.70%","USA","Analyze"
"LBRDA","Liberty Broadband Corp Series A","Common stocks","Large cap","Communication Services","$15,407,078,246","0.00%","USA","Analyze"
"LBRDK","Liberty Broadband Corp Series C","Common stocks","Large cap","Communication Services","$15,407,078,246","0.00%","USA","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$15,333,398,381","3.60%","USA","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$15,316,537,201","2.73%","USA","Analyze"
"PARAA","Paramount Global - Class A","Common stocks","Large cap","Communication Services","$15,306,415,795","3.62%","USA","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$15,306,415,795","4.09%","USA","Analyze"
"CSL","Carlisle Companies Inc","Common stocks","Large cap","Industrials","$15,292,802,694","0.80%","USA","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$15,286,442,514","4.61%","USA","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$15,186,446,482","1.13%","USA","Analyze"
"PLTR","Palantir Technologies Inc.","Common stocks","Large cap","Information Technology","$15,160,651,406","0.00%","USA","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$15,142,999,534","2.90%","USA","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$15,067,141,172","4.38%","USA","Analyze"
"BG","Bunge Ltd","Common stocks","Large cap","Financials","$15,063,741,321","2.20%","USA","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$14,920,301,453","1.15%","USA","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$14,916,962,727","2.82%","USA","Analyze"
"STLD","Steel Dynamics Inc","Common stocks","Large cap","Materials","$14,740,338,045","1.48%","USA","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$14,717,728,928","0.23%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$14,647,881,000","0.00%","USA","Analyze"
"ACI","Albertsons Companies, Inc. Class A","Common stocks","Large cap","Consumer Staples","$14,632,560,554","1.73%","USA","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$14,611,934,701","2.04%","USA","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$14,603,034,629","1.87%","USA","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$14,579,307,349","3.27%","USA","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$14,576,226,404","0.00%","USA","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$14,350,650,870","0.00%","USA","Analyze"
"SSNC","SS&C Technologies Holdings, Inc.","Common stocks","Large cap","Information Technology","$14,220,269,332","1.43%","USA","Analyze"
"TRU","TransUnion","Common stocks","Large cap","Industrials","$14,219,975,000","0.53%","USA","Analyze"
"TPL","Texas Pacific Land Trust","Common stocks","Large cap","Energy","$14,212,714,931","0.62%","USA","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$14,181,279,823","0.02%","USA","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$14,164,012,748","4.50%","USA","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$14,141,278,581","1.88%","USA","Analyze"
"ENTG","Entegris Inc","Common stocks","Large cap","Information Technology","$14,133,725,858","0.40%","USA","Analyze"
"WOLF","Wolfspeed, Inc.","Common stocks","Large cap","Information Technology","$14,081,733,775","0.00%","USA","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$14,076,640,332","0.00%","USA","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$14,068,972,636","0.00%","USA","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$14,011,917,583","0.98%","USA","Analyze"
"OKTA","Okta Inc Class A","Common stocks","Large cap","Information Technology","$13,783,398,404","0.00%","USA","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$13,703,980,778","4.13%","USA","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$13,689,923,047","2.73%","USA","Analyze"
"AZPN","Aspen Technology Inc","Common stocks","Large cap","Information Technology","$13,652,752,792","0.00%","USA","Analyze"
"HZNP","Horizon Pharma Plc","Common stocks","Large cap","Health Care","$13,641,058,725","0.00%","USA","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$13,613,677,794","1.90%","USA","Analyze"
"FSLR","First Solar Inc","Common stocks","Large cap","Information Technology","$13,596,136,511","0.00%","USA","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$13,590,430,060","0.00%","USA","Analyze"
"OVV","Ovintiv Inc.","Common stocks","Large cap","Energy","$13,513,366,068","1.37%","USA","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$13,495,712,283","0.00%","USA","Analyze"
"PINS","Pinterest, Inc. Class A","Common stocks","Large cap","Communication Services","$13,429,510,572","0.00%","USA","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$13,428,745,790","1.06%","USA","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$13,371,165,612","0.00%","USA","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$13,344,235,145","1.09%","USA","Analyze"
"L","Loews Corp","Common stocks","Large cap","Consumer Staples","$13,326,797,541","0.45%","USA","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$13,290,454,783","0.00%","USA","Analyze"
"PCTY","Paylocity Holding Corp","Common stocks","Large cap","Information Technology","$13,285,067,401","0.00%","USA","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$13,270,001,395","0.51%","USA","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$13,195,340,397","0.13%","USA","Analyze"
"ELS","Equity LifeStyle Properties, Inc","REITs","Large cap","Real Estate","$13,044,086,376","2.19%","USA","Analyze"
"CTXS","Citrix Systems Inc","Common stocks","Large cap","Information Technology","$13,039,979,774","0.72%","USA","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$13,037,600,307","3.42%","USA","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$13,022,572,421","3.56%","USA","Analyze"
